,name,floor,height,year,area
0,Torch Tower(トーチタワー),63,390.0,2027.0,東京都千代田区
1,虎ノ門・麻布台地区市街地再開発事業 A街区,64,325.24,2023.0,東京都港区
2,あべのハルカス,60,300.0,2014.0,大阪府大阪市
3,横浜ランドマークタワー,70,296.33,1993.0,神奈川県横浜市
4,(仮称)虎ノ門ヒルズ ステーションタワー,49,265.75,2023.0,東京都港区
5,虎ノ門・麻布台地区市街地再開発事業 B-1街区,64,262.81,2023.0,東京都港区
6,りんくうゲートタワービル,56,256.1,1996.0,大阪府泉佐野市
7,大阪府咲洲庁舎(旧大阪ワールドトレードセンタービルディング),55,256.0,1995.0,大阪府大阪市
8,虎ノ門ヒルズ,52,255.5,2014.0,東京都港区
9,東京ミッドタウン ミッドタウンタワー,54,248.1,2007.0,東京都港区
10,ミッドランド スクエア 豊田毎日ビルディング,47,247.0,2006.0,愛知県名古屋市
11,JRセントラルタワーズ(オフィスタワー),51,245.1,1999.0,愛知県名古屋市
12,東京都庁第一本庁舎,48,243.4,1990.0,東京都新宿区
13,八重洲二丁目北地区第一種市街地再開発事業(A-1街区),45,240.0,2022.0,東京都中央区
14,NTTドコモ代々木ビル,27,239.85,2000.0,東京都渋谷区
15,サンシャイン60,60,239.7,1978.0,東京都豊島区
16,六本木ヒルズ森タワー,54,238.05,2003.0,東京都港区
17,虎ノ門・麻布台地区市街地再開発事業 B-2街区,54,237.2,2023.0,東京都港区
18,新宿パークタワー,52,235.0,1994.0,東京都新宿区
19,東京オペラシティタワー,54,234.371,1996.0,東京都新宿区
20,住友不動産六本木グランドタワー,43,230.76,2016.0,東京都港区
21,渋谷スクランブルスクエア,47,229.71,2019.0,東京都渋谷区
22,JRセントラルタワーズ(ホテル棟・名古屋マリオットアソシアホテル),53,226.0,1999.0,愛知県名古屋市
23,新宿三井ビルディング,55,223.6,1974.0,東京都新宿区
24,新宿センタービル,54,222.95,1979.0,東京都新宿区
